source,temporal,variable,ens,simulation,experiment,path
WACCM6MAM,Dailymean,chi,01,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble001.chi.nc
WACCM6MAM,Dailymean,epfy,01,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble001.epfy.nc
WACCM6MAM,Dailymean,fyy,01,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble001.fyy.nc
WACCM6MAM,Dailymean,utendepfd,01,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble001.utendepfd.nc
WACCM6MAM,Dailymean,vtem,01,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble001.vtem.nc
WACCM6MAM,Dailymean,wtem,01,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble001.wtem.nc
WACCM6MAM,Dailymean,chi,02,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble002.chi.nc
WACCM6MAM,Dailymean,epfy,02,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble002.epfy.nc
WACCM6MAM,Dailymean,fyy,02,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble002.fyy.nc
WACCM6MAM,Dailymean,utendepfd,02,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble002.utendepfd.nc
WACCM6MAM,Dailymean,vtem,02,NoVolc,Exp1and4,/gws/nopw/j04/htmip/Exp1and4_coupledocean/waccm6mam/Dailymean_WACCM6MAM_HTHHMOC-Exp1and4-NoVolc-CoupledOcean-ensemble002.vtem.nc
